spuid,spuid_namespace,bioproject,description_title,organism_name,file_location,file_path,datatype,bs-collected_by, bs-collection_date,bs-geo_loc_name, bs-host, bs-host_disease,bs-strain,bs-isolation_source,bs-lat_lon,bs-host_sex,bs-host_age,sra-instrument_model,sra-library_name,sra-library_strategy,sra-library_source,sra-library_selection,sra-library_layout,sra-library_construction_protocol,sra_loader
spuid_1,spuid_namespace_1,bioproject_1,description_title_1,organism_name_1,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_1, collection_date_1, geo_loc_name_1, host_1, host_disease_1, strain_1, isolation_source_1, lat_lon_1,host_sex_1,host_age_1,instrument_model_1,library_name_1,library_strategy_1,library_source_1,library_selection_1,library_layout_1,library_construction_protocol_1,loader_1
spuid_2,spuid_namespace_2,bioproject_2,description_title_2,organism_name_2,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_2, collection_date_2, geo_loc_name_2, host_2, host_disease_2, strain_2, isolation_source_2, lat_lon_2,host_sex_2,host_age_2,instrument_model_2,library_name_2,library_strategy_2,library_source_2,library_selection_2,library_layout_2,library_construction_protocol_2,loader_2
spuid_3,spuid_namespace_3,bioproject_3,description_title_3,organism_name_3,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_3, collection_date_3, geo_loc_name_3, host_3, host_disease_3, strain_3, isolation_source_3, lat_lon_3,host_sex_3,host_age_3,instrument_model_3,library_name_3,library_strategy_3,library_source_3,library_selection_3,library_layout_3,library_construction_protocol_3,loader_3
spuid_4,spuid_namespace_4,bioproject_4,description_title_4,organism_name_4,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_4, collection_date_4, geo_loc_name_4, host_4, host_disease_4, strain_4, isolation_source_4, lat_lon_4,host_sex_4,host_age_4,instrument_model_4,library_name_4,library_strategy_4,library_source_4,library_selection_4,library_layout_4,library_construction_protocol_4,loader_4
spuid_5,spuid_namespace_5,bioproject_5,description_title_5,organism_name_5,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_5, collection_date_5, geo_loc_name_5, host_5, host_disease_5, strain_5, isolation_source_5, lat_lon_5,host_sex_5,host_age_5,instrument_model_5,library_name_5,library_strategy_5,library_source_5,library_selection_5,library_layout_5,library_construction_protocol_5,loader_5
spuid_6,spuid_namespace_6,bioproject_6,description_title_6,organism_name_6,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_6, collection_date_6, geo_loc_name_6, host_6, host_disease_6, strain_6, isolation_source_6, lat_lon_6,host_sex_6,host_age_6,instrument_model_6,library_name_6,library_strategy_6,library_source_6,library_selection_6,library_layout_6,library_construction_protocol_6,loader_6
spuid_7,spuid_namespace_7,bioproject_7,description_title_7,organism_name_7,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_7, collection_date_7, geo_loc_name_7, host_7, host_disease_7, strain_7, isolation_source_7, lat_lon_7,host_sex_7,host_age_7,instrument_model_7,library_name_7,library_strategy_7,library_source_7,library_selection_7,library_layout_7,library_construction_protocol_7,loader_7
spuid_8,spuid_namespace_8,bioproject_8,description_title_8,organism_name_8,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_8, collection_date_8, geo_loc_name_8, host_8, host_disease_8, strain_8, isolation_source_8, lat_lon_8,host_sex_8,host_age_8,instrument_model_8,library_name_8,library_strategy_8,library_source_8,library_selection_8,library_layout_8,library_construction_protocol_8,loader_8
spuid_9,spuid_namespace_9,bioproject_9,description_title_9,organism_name_9,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_9, collection_date_9, geo_loc_name_9, host_9, host_disease_9, strain_9, isolation_source_9, lat_lon_9,host_sex_9,host_age_9,instrument_model_9,library_name_9,library_strategy_9,library_source_9,library_selection_9,library_layout_9,library_construction_protocol_9,loader_9
spuid_10,spuid_namespace_10,bioproject_10,description_title_10,organism_name_10,local,"sample_1_fastq_R1.fastq.gz, sample_1_fastq_R2.fastq.gz",generic-data,collected_by_10, collection_date_10, geo_loc_name_10, host_10, host_disease_10, strain_10, isolation_source_10, lat_lon_10,host_sex_10,host_age_10,instrument_model_10,library_name_10,library_strategy_10,library_source_10,library_selection_10,library_layout_10,library_construction_protocol_10,loader_10
