Sequence_ID,src-organism,src-isolate,src-collection_date,src-country,src-host,src-isolation_source,cmt-StructuredCommentPrefix,cmt-Assembly-Method,cmt-Coverage,cmt-Sequencing-Technology,cmt-StructuredCommentSuffix
Sequence_ID_1,Severe acute respiratory syndrome coronavirus 2,isolate_1,collection-date_1,country_1,host_1,isolation-source_1,StructuredCommentPrefix_1,Assembly-Method_1,Coverage_1,Sequencing-Technology_1,StructuredCommentSuffix_1
Sequence_ID_2,Severe acute respiratory syndrome coronavirus 2,isolate_2,collection-date_2,country_2,host_2,isolation-source_2,StructuredCommentPrefix_2,Assembly-Method_2,Coverage_2,Sequencing-Technology_2,StructuredCommentSuffix_2
Sequence_ID_3,Severe acute respiratory syndrome coronavirus 2,isolate_3,collection-date_3,country_3,host_3,isolation-source_3,StructuredCommentPrefix_3,Assembly-Method_3,Coverage_3,Sequencing-Technology_3,StructuredCommentSuffix_3
Sequence_ID_4,Severe acute respiratory syndrome coronavirus 2,isolate_4,collection-date_4,country_4,host_4,isolation-source_4,StructuredCommentPrefix_4,Assembly-Method_4,Coverage_4,Sequencing-Technology_4,StructuredCommentSuffix_4
Sequence_ID_5,Severe acute respiratory syndrome coronavirus 2,isolate_5,collection-date_5,country_5,host_5,isolation-source_5,StructuredCommentPrefix_5,Assembly-Method_5,Coverage_5,Sequencing-Technology_5,StructuredCommentSuffix_5
Sequence_ID_6,Severe acute respiratory syndrome coronavirus 2,isolate_6,collection-date_6,country_6,host_6,isolation-source_6,StructuredCommentPrefix_6,Assembly-Method_6,Coverage_6,Sequencing-Technology_6,StructuredCommentSuffix_6
Sequence_ID_7,Severe acute respiratory syndrome coronavirus 2,isolate_7,collection-date_7,country_7,host_7,isolation-source_7,StructuredCommentPrefix_7,Assembly-Method_7,Coverage_7,Sequencing-Technology_7,StructuredCommentSuffix_7
Sequence_ID_8,Severe acute respiratory syndrome coronavirus 2,isolate_8,collection-date_8,country_8,host_8,isolation-source_8,StructuredCommentPrefix_8,Assembly-Method_8,Coverage_8,Sequencing-Technology_8,StructuredCommentSuffix_8
Sequence_ID_9,Severe acute respiratory syndrome coronavirus 2,isolate_9,collection-date_9,country_9,host_9,isolation-source_9,StructuredCommentPrefix_9,Assembly-Method_9,Coverage_9,Sequencing-Technology_9,StructuredCommentSuffix_9
Sequence_ID_10,Severe acute respiratory syndrome coronavirus 2,isolate_10,collection-date_10,country_10,host_10,isolation-source_10,StructuredCommentPrefix_10,Assembly-Method_10,Coverage_10,Sequencing-Technology_10,StructuredCommentSuffix_10
